Institute,Branch,category,gen,mews,fews,mobc,fobc,msc,fsc,mst,fst
"Engineering College, Ajmer",CIVIL ENGINEERING(SFS),SFS,5299,1552,-1,1646,-1,348,-1,135,40
"Engineering College, Ajmer",COMPUTER ENGINEERING(SFS),SFS,1188,266,117,315,118,254,119,142,-1
"Engineering College, Ajmer",ELECTRICAL ENGINEERING(SFS),SFS,6059,1306,-1,1526,-1,456,-1,205,-1
"Engineering College, Ajmer",ELECTRO. INST. & CONTROL(SFS),SFS,10096,1638,-1,2899,-1,-1,-1,-1,0
"Engineering College, Ajmer",ELECTRONICS & COMM.(SFS),SFS,8775,1433,-1,2478,-1,921,-1,-1,-1
"Engineering College, Ajmer",INFORMATION TECHNOLOGY(SFS),SFS,2989,525,209,655,-1,380,185,68,-1
"Engineering College, Ajmer",MECHANICAL ENGINEERING(SFS),SFS,7577,1174,-1,1799,-1,505,-1,313,-1
"Engineering College, Ajmer",ELECTRO. INST. & CONTROL(GAS),GAS,9441,1532,-1,2234,-1,766,-1,-1,-1
"Engineering College, Ajmer",ELECTRONICS  AND  COMM.(GAS),GAS,4667,926,309,1401,327,433,-1,117,33
"Engineering College, Ajmer",MECHANICAL(GAS),GAS,6013,1280,-1,1531,-1,462,-1,97,-1
"M.L.V. Textile and Engineering College, Bhilwara",ELECTRONICS AND COMM.(SFS),SFS,9722,-1,-1,-1,-1,-1,-1,-1,0
"M.L.V. Textile and Engineering College, Bhilwara",INFORMATION TECHNOLOGY(SFS),SFS,7708,1235,416,1850,506,-1,-1,-1,-1
"M.L.V. Textile and Engineering College, Bhilwara",MECHANICAL ENGINEERING(SFS),SFS,10386,-1,-1,-1,-1,-1,-1,-1,-1
"M.L.V. Textile and Engineering College, Bhilwara",TEXTILE CHEMISTRY(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"M.L.V. Textile and Engineering College, Bhilwara",TEXTILE TECHNOLOGY(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"M.L.V. Textile and Engineering College, Bhilwara",TEXTILE CHEMISTRY(GAS),GAS,10563,-1,-1,-1,-1,-1,-1,-1,0
"M.L.V. Textile and Engineering College, Bhilwara",TEXTILE TECHNOLOGY(GAS),GAS,10380,-1,-1,-1,-1,-1,-1,-1,-1
"M.L.V. Textile and Engineering College, Bhilwara",COMPUTER SCIENCE AND ENGINEERING-IOT(SFS),SFS,2682,706,435,840,369,193,82,-1,0
"Engineering College, Bikaner",CIVIL ENGINEERING(SFS),SFS,10590,-1,-1,2715,-1,-1,-1,366,-1
"Engineering College, Bikaner",ELECTRICAL ENGINEERING(SFS),SFS,10332,1478,-1,-1,-1,-1,-1,-1,-1
"Engineering College, Bikaner",ELECTRONICS & COMM.(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Engineering College, Bikaner",INFORMATION TECHNOLOGY(SFS),SFS,6549,1113,344,1745,-1,-1,-1,-1,0
"Engineering College, Bikaner",MECHANICAL ENGINEERING(SFS),SFS,10007,-1,-1,-1,-1,-1,-1,-1,-1
"Engineering College, Bikaner",ELECTRICAL (II SHIFT)(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Engineering College, Bikaner",MECHANICAL (II SHIFT)(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,0
"Engineering College, Bikaner",COMPUTER SCIENCE & ENGG.(SFS),SFS,3259,580,238,1024,403,756,-1,-1,-1
"Engineering College, Bikaner",ELECTRONIC INSTRUMENTATION & CONTROL ENGINEERING(S,SFS,9738,-1,-1,-1,-1,-1,-1,-1,0
"Engineering College, Bikaner",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE(SFS),SFS,10555,1366,-1,2455,-1,-1,-1,-1,-1
"M.B.M. Engineering College, Jodhpur",INFORMATION TECHNOLOGY(SFS),SFS,70,10,11,30,12,38,56,40,0
"M.B.M. Engineering College, Jodhpur",ELECTRONICS  AND  ELECTRICAL(SFS),SFS,938,186,52,239,102,134,101,37,-1
"M.B.M. Engineering College, Jodhpur",ELECTRONICS  AND  COMPUTER(SFS),SFS,374,95,23,99,41,102,83,71,45
"M.B.M. Engineering College, Jodhpur",CHEMICAL(GAS),GAS,1340,291,87,416,0,143,103,72,18
"M.B.M. Engineering College, Jodhpur",CIVIL(GAS),GAS,999,315,142,316,87,46,41,10,4
"M.B.M. Engineering College, Jodhpur",ELECTRICAL(GAS),GAS,474,110,36,150,40,37,24,16,2
"M.B.M. Engineering College, Jodhpur",ELECTRONICS & COMM.(GAS),GAS,278,79,24,96,37,76,49,13,11
"M.B.M. Engineering College, Jodhpur",MECHANICAL(GAS),GAS,922,191,104,251,91,88,61,32,20
"M.B.M. Engineering College, Jodhpur",MINING(GAS),GAS,1458,331,138,360,98,196,129,91,42
"M.B.M. Engineering College, Jodhpur",PRODUCTION & INDUSTRIAL(GAS),GAS,2726,570,220,729,136,478,-1,195,-1
"M.B.M. Engineering College, Jodhpur",COMPUTER SCIENCE & ENGG.(GAS),GAS,26,4,2,8,1,4,3,15,10
"M.B.M. Engineering College, Jodhpur",PETROLEUM ENGINEERING(GAS),GAS,2522,535,304,723,132,281,168,147,27
"Rajasthan Technical University, Kota",CIVIL ENGINEERING(SFS),SFS,3928,849,300,1123,371,317,97,104,34
"Rajasthan Technical University, Kota",ELECTRICAL ENGINEERING(SFS),SFS,2799,547,158,809,248,263,102,103,43
"Rajasthan Technical University, Kota",ELECTRO. INST. & CONTROL(SFS),SFS,5201,941,310,1274,-1,-1,-1,-1,0
"Rajasthan Technical University, Kota",ELECTRONICS AND COMM.(SFS),SFS,1353,284,123,470,147,296,-1,107,59
"Rajasthan Technical University, Kota",INFORMATION TECHNOLOGY(SFS),SFS,516,123,45,216,76,222,139,84,48
"Rajasthan Technical University, Kota",MECHANICAL ENGINEERING(SFS),SFS,3231,664,207,791,-1,277,-1,79,-1
"Rajasthan Technical University, Kota",PETROLEUM ENGINEERING(SFS),SFS,6289,1106,413,1653,-1,882,-1,-1,0
"Rajasthan Technical University, Kota",AERONAUTICAL ENGINEERING(SFS),SFS,1851,425,198,699,297,287,87,197,0
"Rajasthan Technical University, Kota",PETRO CHEMICAL(SFS),SFS,7686,1193,-1,1888,-1,-1,-1,-1,0
"Rajasthan Technical University, Kota",CIVIL(GAS),GAS,2607,651,254,645,148,121,67,31,5
"Rajasthan Technical University, Kota",ELECTRO. INST. & CONTROL(GAS),GAS,2889,592,193,676,162,412,-1,152,-1
"Rajasthan Technical University, Kota",PRODUCTION & INDUSTRIAL(GAS),GAS,5553,1184,369,1453,-1,1007,-1,-1,-1
"Rajasthan Technical University, Kota",COMPUTER SCIENCE & ENGG.(SFS),SFS,291,55,21,124,44,130,50,25,28
"College of Technology and Engineering, Udaipur",CIVIL ENGINEERING(SFS),SFS,2340,458,188,641,152,184,60,53,25
"College of Technology and Engineering, Udaipur",ELECTRICAL ENGINEERING(SFS),SFS,2141,428,98,573,187,271,80,111,31
"College of Technology and Engineering, Udaipur",ELECTRONICS & COMM.(SFS),SFS,1197,256,103,294,114,314,-1,137,-1
"College of Technology and Engineering, Udaipur",MECHANICAL ENGINEERING(SFS),SFS,2187,336,139,662,253,309,65,136,-1
"College of Technology and Engineering, Udaipur",MINING(SFS),SFS,2042,615,0,633,244,382,0,228,0
"College of Technology and Engineering, Udaipur",MINING(GAS),GAS,1703,469,0,350,0,321,195,119,0
"College of Technology and Engineering, Udaipur",COMPUTER SCIENCE & ENGG.(SFS),SFS,234,52,31,89,32,141,36,83,16
"College of Technology and Engineering, Udaipur",ARTIFICIAL INTELLIGENCE & DATA SCIENCE(SFS),SFS,778,171,50,218,88,216,89,207,88
"College of Technology and Engineering, Udaipur",AGRICULTURE ENGINEERING(GAS),GAS,2742,640,236,742,168,320,-1,86,26
"Laxmi Devi Institute of Engineering and Technology, Alwar",CIVIL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Laxmi Devi Institute of Engineering and Technology, Alwar",ELECTRICAL ENGINEERING(SFS),SFS,10553,-1,-1,-1,-1,-1,-1,-1,-1
"Laxmi Devi Institute of Engineering and Technology, Alwar",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Laxmi Devi Institute of Engineering and Technology, Alwar",COMPUTER SCIENCE & ENGG.(SFS),SFS,10157,-1,-1,-1,-1,-1,-1,-1,-1
"Arya Institute of Engineering Tech. and Management, Jaipur",CIVIL ENGINEERING(SFS),SFS,10364,-1,-1,-1,-1,-1,-1,-1,-1
"Arya Institute of Engineering Tech. and Management, Jaipur",ELECTRICAL ENGINEERING(SFS),SFS,9537,-1,-1,-1,-1,-1,-1,-1,-1
"Arya Institute of Engineering Tech. and Management, Jaipur",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Arya Institute of Engineering Tech. and Management, Jaipur",COMPUTER SCIENCE & ENGG.(SFS),SFS,9595,-1,-1,2352,-1,-1,-1,-1,-1
"Arya Institute of Engineering Tech. and Management, Jaipur",COMPUTER SCIENCE & DESIGN(SFS),SFS,10534,-1,-1,-1,-1,-1,-1,-1,-1
"Arya Institute of Engineering and Technology, Jaipur",ELECTRICAL ENGINEERING(SFS),SFS,10331,-1,-1,-1,-1,-1,-1,524,-1
"Arya Institute of Engineering and Technology, Jaipur",ELECTRONICS & COMM.(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Arya Institute of Engineering and Technology, Jaipur",INFORMATION TECHNOLOGY(SFS),SFS,10430,-1,-1,-1,-1,-1,-1,-1,-1
"Arya Institute of Engineering and Technology, Jaipur",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Arya Institute of Engineering and Technology, Jaipur",COMPUTER SCIENCE & ENGG.(SFS),SFS,9775,-1,-1,-1,-1,-1,-1,-1,-1
"Arya Institute of Engineering and Technology, Jaipur",ARTIFICIAL INTELLIGENCE & DATA SCIENCE(SFS),SFS,10502,-1,-1,-1,-1,-1,-1,-1,-1
"Arya College of Engg. and Information Technology, Jaipur",ELECTRICAL ENGINEERING (SFS),SFS,10267,-1,-1,-1,-1,-1,-1,-1,-1
"Arya College of Engg. and Information Technology, Jaipur",ELECTRONICS AND COMM.(SFS),SFS,10483,-1,-1,-1,-1,-1,-1,-1,-1
"Arya College of Engg. and Information Technology, Jaipur",INFORMATION TECHNOLOGY (SFS),SFS,8977,1506,-1,2237,-1,-1,-1,364,-1
"Arya College of Engg. and Information Technology, Jaipur",MECHANICAL ENGINEERING (SFS),SFS,9968,-1,-1,-1,-1,-1,-1,-1,-1
"Arya College of Engg. and Information Technology, Jaipur",COMPUTER SCIENCE & ENGG.(SFS),SFS,5658,1051,362,1713,-1,-1,-1,-1,-1
"Arya College of Engg. and Information Technology, Jaipur",ARTIFICIAL INTELLIGENCE & DATA SCIENCE(SFS),SFS,9506,-1,-1,2802,-1,-1,-1,-1,-1
"Global Institute of Technology, Jaipur",CIVIL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Global Institute of Technology, Jaipur",ELECTRICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Global Institute of Technology, Jaipur",INFORMATION TECHNOLOGY(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Global Institute of Technology, Jaipur",MECHANICAL ENGINEERING(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Global Institute of Technology, Jaipur",COMPUTER SCIENCE & ENGG.(SFS),SFS,10511,-1,-1,-1,-1,-1,-1,-1,-1
"Global Institute of Technology, Jaipur",ARTIFICIAL INTELLIGENCE & DATA SCIENCE(SFS),SFS,-1,-1,-1,-1,-1,-1,-1,-1,-1
